file_name,file_path,height,width,image_id,caption
COCO_train2014_000000000009.jpg,./coco-2014/train/data/COCO_train2014_000000000009.jpg,480,640,9,closeup of bins of food that include broccoli and bread
COCO_train2014_000000000009.jpg,./coco-2014/train/data/COCO_train2014_000000000009.jpg,480,640,9,a meal is presented in brightly colored plastic trays
COCO_train2014_000000000009.jpg,./coco-2014/train/data/COCO_train2014_000000000009.jpg,480,640,9,there are containers filled with different kinds of foods
COCO_train2014_000000000009.jpg,./coco-2014/train/data/COCO_train2014_000000000009.jpg,480,640,9,colorful dishes holding meat vegetables fruit and bread
COCO_train2014_000000000009.jpg,./coco-2014/train/data/COCO_train2014_000000000009.jpg,480,640,9,a bunch of trays that have different food
COCO_train2014_000000000025.jpg,./coco-2014/train/data/COCO_train2014_000000000025.jpg,426,640,25,a giraffe standing up nearby a tree 
COCO_train2014_000000000025.jpg,./coco-2014/train/data/COCO_train2014_000000000025.jpg,426,640,25,a giraffe standing next to a forest filled with trees
COCO_train2014_000000000025.jpg,./coco-2014/train/data/COCO_train2014_000000000025.jpg,426,640,25,two giraffes standing in a tree filled area
COCO_train2014_000000000025.jpg,./coco-2014/train/data/COCO_train2014_000000000025.jpg,426,640,25,a giraffe mother with its baby in the forest
COCO_train2014_000000000025.jpg,./coco-2014/train/data/COCO_train2014_000000000025.jpg,426,640,25,a giraffe eating food from the top of the tree
COCO_train2014_000000000030.jpg,./coco-2014/train/data/COCO_train2014_000000000030.jpg,428,640,30,a white vase with many flowers on a stage
COCO_train2014_000000000030.jpg,./coco-2014/train/data/COCO_train2014_000000000030.jpg,428,640,30,a white vase filled with different colored flowers
COCO_train2014_000000000030.jpg,./coco-2014/train/data/COCO_train2014_000000000030.jpg,428,640,30,a vase with red and white flowers outside on a sunny day
COCO_train2014_000000000030.jpg,./coco-2014/train/data/COCO_train2014_000000000030.jpg,428,640,30,white vase with different colored flowers sitting inside of it 
COCO_train2014_000000000030.jpg,./coco-2014/train/data/COCO_train2014_000000000030.jpg,428,640,30,a flower vase is sitting on a porch stand
COCO_train2014_000000000034.jpg,./coco-2014/train/data/COCO_train2014_000000000034.jpg,425,640,34,a zebra grazing on lush green grass in a field
COCO_train2014_000000000034.jpg,./coco-2014/train/data/COCO_train2014_000000000034.jpg,425,640,34,a zebra grazing on grass in a green open field
COCO_train2014_000000000034.jpg,./coco-2014/train/data/COCO_train2014_000000000034.jpg,425,640,34,a lone zebra grazing in some green grass
COCO_train2014_000000000034.jpg,./coco-2014/train/data/COCO_train2014_000000000034.jpg,425,640,34,the zebra is eating grass in the sun
COCO_train2014_000000000034.jpg,./coco-2014/train/data/COCO_train2014_000000000034.jpg,425,640,34,zebra reaching its head down to ground where grass is 
