file_name,file_path,height,width,image_id,caption
COCO_train2014_000000004428.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000004428.jpg,640,429,4428,A chef preparing food inside of a kitchen near  a window.
COCO_train2014_000000004428.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000004428.jpg,640,429,4428,A cook is making food under a lamp.
COCO_train2014_000000004428.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000004428.jpg,640,429,4428,A chief in a kitchen plating food out of a pan.
COCO_train2014_000000004428.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000004428.jpg,640,429,4428,Sous chef adding sauce to a plate at the pass of a restaurant kitchen. 
COCO_train2014_000000004428.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000004428.jpg,640,429,4428,a person in a kitchen preparing food under a lamp
COCO_train2014_000000002024.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000002024.jpg,480,640,2024,A bathroom looks new with nothing in it.
COCO_train2014_000000002024.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000002024.jpg,480,640,2024,A mirror in the bathroom displays toilet paper and another mirror.
COCO_train2014_000000002024.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000002024.jpg,480,640,2024,A bathroom sink beneath a very large mirror reflecting a roll of toilet paper.
COCO_train2014_000000002024.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000002024.jpg,480,640,2024,This is a bathroom with a sink and a mirror.
COCO_train2014_000000002024.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000002024.jpg,480,640,2024,A bathroom sink with a large mirror over it. 
COCO_train2014_000000000625.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000000625.jpg,446,640,625,Three young women are trying to catch a frisbee.
COCO_train2014_000000000625.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000000625.jpg,446,640,625,A group of woman standing in a field trying to catch a frisbee
COCO_train2014_000000000625.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000000625.jpg,446,640,625,Three girls playing frisbee together in a field.
COCO_train2014_000000000625.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000000625.jpg,446,640,625,3 people attempt to catch a frisbee in midair. 
COCO_train2014_000000000625.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000000625.jpg,446,640,625,three people in a grass field reaching for a frisbee in the air
COCO_train2014_000000001025.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000001025.jpg,427,640,1025,A dog sitting in a heart on a beach by ocean
COCO_train2014_000000001025.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000001025.jpg,427,640,1025,A brown dog on beach surrounded by a heart shape.
COCO_train2014_000000001025.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000001025.jpg,427,640,1025,"A heart shaped figure is engraved on sand,in the center of which a dog is sitting."
COCO_train2014_000000001025.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000001025.jpg,427,640,1025,a dog sits on a beach inside of a drawn heart
COCO_train2014_000000001025.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000001025.jpg,427,640,1025,A cute little dog sitting in a heart drawn on a sandy beach.
COCO_train2014_000000005559.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000005559.jpg,426,640,5559,Snow boarder in snow suit riding on board.
COCO_train2014_000000005559.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000005559.jpg,426,640,5559,Man in yellow jacket riding a snowboard on a slope.
COCO_train2014_000000005559.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000005559.jpg,426,640,5559,A man snowboarding down a snow covered and tree lines hill.
COCO_train2014_000000005559.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000005559.jpg,426,640,5559,A person snowboarding in the snow during the day.
COCO_train2014_000000005559.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000005559.jpg,426,640,5559,The snowboarder slides over the snow on a winter day.
COCO_train2014_000000004172.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000004172.jpg,427,640,4172,Mid-air shot of men playing sports indoors in front of an audience.
COCO_train2014_000000004172.jpg,/home/harsh/fiftyone/coco-2014/train/data/COCO_train2014_000000004172.jpg,427,640,4172,A group of men are on a court playing volleyball.
